-1 | 4632 4632 4632 6118
-1 | 707 1040 348 87
-1 | 6132 8175 8175 10678
1 | 353 1604 1604 1604 1604 1604 1604 1604
-1 | 1007 315 315
-1 | 227 357 227
-1 | 403 403 403 403 403
-1 | 153 153 1677 1677 2918 2918 74 74
1 | 1166 869 2807 2807
-1 | 599 676 599 599 676 599
-1 | 6175 4901 6175 709 6749 5893 12563
-1 | 4725 2346 3215
-1 | 366 1861 1861 1861 1861
-1 | 2491 1737 1737 195 3675 8746 3675 227 227 1800 2080 4988
-1 | 74 74 74 113
-1 | 1563 6858 1040
1 | 1687 1687 1687 1687 1073 1020 15 15 15 525 525
-1 | 367 1801 1616
-1 | 181 369 126 369 181 424 314
-1 | 12779 18960 12779 12779
-1 | 18316 18316 18316
-1 | 15887 2155 3290 3290 21597 8446 9736 21597 21597 18758 3623 14501 3954 3954 14501 3954 4059 24900 2643 14278 22239 14278 7265 8616 8616 733 2788 2788 7332 8926 11715 11715 14723 14723 8411 3143 3143 3143 16161 10652 31242 3805 614
-1 | 1353 875 1353
-1 | 486 1177 581 1619 2366 2816 51
-1 | 26258 702 702 107 107 107
-1 | 1788 505 53 51
-1 | 3060 2739 1418 202 1418 2986
-1 | 6787 3750 195 195
-1 | 6724 5436 6627 8769 282 236 8769
-1 | 3124 6915 4431 4636
-1 | 370 370 273
-1 | 724 914 825
-1 | 1209 1209 1209
-1 | 32012 23832 25754
-1 | 7326 7172 8068 9741 7326 8957
1 | 889 889 889 889 1447 1447 1447 1447 936 936 1084 1084
-1 | 581 11951 2935
1 | 3965 3965 3965
1 | 507 507 507 507 507
1 | 74 113 132 132
-1 | 18809 10191 20433 14288 3339 13089 13089 9389 9590 18893 11221 11221 5682
-1 | 13243 16338 13243 13243
-1 | 752 747 424 410 472 267 51 53 505 127 7 2958 1172 307
-1 | 5602 6540 2243 3847 1397 6540 2243 5602
-1 | 457 457 457
1 | 113 113 113 113 113 11148
-1 | 1019 1430 907
-1 | 218 549 457 168 361 1330 1073 58 1902 829 1426 1475 1475 385
-1 | 5052 12196 5933 5933
-1 | 1522 1522 7585 5535
-1 | 919 919 919
-1 | 21650 21650 21650
-1 | 4704 752 747 741 4666 1172
-1 | 7570 8051 7343 3176 3176
-1 | 147 188 188 1102 181 1102 3846 117 128
-1 | 181 126 408
-1 | 4476 1780 10239
-1 | 7134 3021 7134
-1 | 165 181 1242 960
-1 | 959 9794 9794
1 | 408 1148 1148 1298 1148 741 747 1851
-1 | 737 821 1180 3633 954 399
-1 | 3846 3846 3829
-1 | 374 188 126 369
-1 | 5157 5269 4124 4440 10810 6786 5218 4505 7777 2125 6013 2119 2119 5215 2685 167 167 40 8383 8039 5001 3588 4160 3308 2172
